"","age","ice_forcing"
"981",1.6,-0.45
"982",1.599,-0.52
"983",1.598,-0.61
"984",1.597,-0.72
"985",1.596,-0.93
"986",1.595,-1.25
"987",1.594,-1.45
"988",1.593,-1.53
"989",1.592,-1.57
"990",1.591,-1.56
"991",1.59,-1.53
"992",1.589,-1.5
"993",1.588,-1.49
"994",1.587,-1.51
"995",1.586,-1.57
"996",1.585,-1.68
"997",1.584,-1.84
"998",1.583,-2.04
"999",1.582,-2.18
"1000",1.581,-2.26
"1001",1.58,-2.35
"1002",1.579,-2.45
"1003",1.578,-2.55
"1004",1.577,-2.66
"1005",1.576,-2.72
"1006",1.575,-2.75
"1007",1.574,-2.72
"1008",1.573,-2.62
"1009",1.572,-2.5
"1010",1.571,-2.37
"1011",1.57,-2.14
"1012",1.569,-1.83
"1013",1.568,-1.53
"1014",1.567,-1.23
"1015",1.566,-1.01
"1016",1.565,-0.88
"1017",1.564,-0.81
"1018",1.563,-0.79
"1019",1.562,-0.86
"1020",1.561,-1
"1021",1.56,-1.17
"1022",1.559,-1.37
"1023",1.558,-1.49
"1024",1.557,-1.54
"1025",1.556,-1.55
"1026",1.555,-1.53
"1027",1.554,-1.52
"1028",1.553,-1.51
"1029",1.552,-1.52
"1030",1.551,-1.55
"1031",1.55,-1.61
"1032",1.549,-1.71
"1033",1.548,-1.83
"1034",1.547,-1.99
"1035",1.546,-2.16
"1036",1.545,-2.38
"1037",1.544,-2.57
"1038",1.543,-2.77
"1039",1.542,-2.92
"1040",1.541,-3.04
"1041",1.54,-3.13
"1042",1.539,-3.21
"1043",1.538,-3.27
"1044",1.537,-3.3
"1045",1.536,-3.3
"1046",1.535,-3.27
"1047",1.534,-3.12
"1048",1.533,-2.89
"1049",1.532,-2.68
"1050",1.531,-2.52
"1051",1.53,-2.35
"1052",1.529,-2.17
"1053",1.528,-1.97
"1054",1.527,-1.74
"1055",1.526,-1.53
"1056",1.525,-1.34
"1057",1.524,-1.2
"1058",1.523,-1.11
"1059",1.522,-1.05
"1060",1.521,-1.04
"1061",1.52,-1.05
"1062",1.519,-1.08
"1063",1.518,-1.1
