"age","d11B","d11Bse","d18O","MgCa","species","d13C"
55.739,15.76,0.1,NA,NA,"Grub",NA
55.734,NA,NA,NA,3.69,"Grub",NA
55.732,NA,NA,NA,3.46,"Tsac",NA
55.722,NA,NA,-1.61,NA,"Grub",3.52
55.715,14.61,0.075,NA,NA,"Tsac",NA
55.715,15.39,0.1,NA,NA,"Grub",NA
55.712,NA,NA,NA,4.35,"Grub",NA
55.71,15.4,0.1,NA,3.65,"Grub",NA
55.708,NA,NA,NA,3.45,"Tsac",NA
55.698,NA,NA,NA,3.78,"Grub",NA
55.697,NA,NA,-1.74,3.55,"Grub",3.94
55.686,NA,NA,NA,3.71,"Grub",NA
55.686,NA,NA,NA,3.71,"Grub",NA
55.686,NA,NA,NA,4.21,"Grub",NA
55.679,NA,NA,NA,3.78,"Tsac",NA
55.674,NA,NA,NA,3.94,"Grub",NA
55.673,NA,NA,-1.59,NA,"Grub",4.27
55.66,NA,NA,NA,4.14,"Grub",NA
55.649,NA,NA,-1.66,3.51,"Grub",3.86
55.644,NA,NA,NA,3.82,"Grub",NA
