age,IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',IIa,IIa',IIb,IIb',IIc,IIc',Ia,Ib,Ic,MATmrs,MASTsrs,BayMBT0
2.237,8%,14%,0%,0%,0%,0%,8%,20%,6%,11%,0%,0%,23%,12%,0%,12.4,10.4,12.9
2.244,3%,6%,0%,0%,0%,0%,6%,15%,2%,7%,0%,0%,40%,18%,4%,18,16.3,21.2
2.251,3%,9%,0%,0%,0%,0%,12%,19%,0%,0%,0%,0%,37%,17%,4%,14.1,11.2,19.2
2.265,0%,7%,0%,0%,0%,0%,11%,13%,0%,0%,0%,0%,45%,24%,0%,16.4,13.1,21.9
2.278,4%,6%,0%,0%,0%,0%,7%,21%,4%,9%,0%,0%,32%,16%,0%,16.1,14.8,17.9
2.292,3%,7%,0%,0%,0%,0%,7%,18%,7%,4%,0%,0%,37%,16%,2%,16.8,14.9,18.1
2.305,4%,8%,0%,0%,0%,0%,11%,17%,6%,6%,0%,0%,34%,15%,0%,13.8,11.2,15.6
2.318,9%,12%,0%,0%,0%,0%,8%,14%,6%,4%,0%,0%,30%,17%,0%,13.6,11.7,14.7
2.328,5%,5%,0%,0%,0%,0%,9%,13%,7%,5%,0%,0%,36%,17%,3%,15,13.4,16.8
2.343,0%,0%,0%,0%,0%,0%,8%,24%,7%,5%,0%,0%,41%,16%,0%,17.6,16.9,19.5
2.353,8%,10%,0%,0%,0%,0%,13%,22%,0%,0%,0%,0%,46%,0%,0%,14.2,12.3,15.2
2.357,5%,13%,0%,0%,0%,0%,15%,16%,0%,0%,0%,0%,33%,18%,0%,11.7,7.9,16.4
2.362,5%,9%,0%,0%,0%,0%,17%,17%,9%,4%,0%,0%,25%,10%,2%,8.1,4.5,10.3
2.373,6%,13%,0%,0%,0%,0%,13%,15%,10%,7%,0%,0%,26%,11%,0%,10.6,7.2,10.7
2.386,4%,14%,0%,0%,0%,0%,4%,23%,9%,5%,0%,0%,29%,9%,3%,17.3,14.2,16.1
2.395,4%,11%,0%,0%,0%,0%,6%,21%,5%,4%,0%,0%,36%,11%,0%,17,14.5,17.5
2.399,6%,6%,0%,0%,0%,0%,18%,15%,5%,4%,1%,1%,30%,11%,3%,9.4,6.1,12.1
2.41,5%,10%,0%,0%,0%,0%,7%,21%,7%,6%,0%,0%,33%,12%,0%,15.9,13.6,16
2.414,6%,10%,0%,0%,0%,0%,12%,14%,12%,4%,0%,0%,28%,11%,4%,11.6,8.6,11.8
2.425,7%,12%,0%,0%,0%,0%,14%,20%,0%,0%,0%,0%,34%,14%,0%,12,9.3,15.4
2.429,4%,7%,0%,0%,0%,0%,9%,19%,10%,3%,3%,1%,30%,11%,4%,13.9,11.8,13.1
2.437,2%,9%,0%,0%,0%,0%,5%,27%,7%,7%,0%,0%,30%,11%,3%,17.8,15.5,18.1
2.438,4%,8%,0%,0%,0%,0%,5%,14%,7%,5%,0%,0%,37%,17%,5%,18.2,16.4,19.2
2.442,6%,7%,0%,0%,0%,0%,11%,12%,4%,4%,0%,0%,36%,15%,5%,13.7,11.4,16.4
2.443,7%,12%,0%,0%,0%,0%,10%,10%,10%,4%,0%,0%,28%,12%,6%,12.6,9.2,13
